brew	mupdf-tools	Lightweight PDF and XPS viewer	https://mupdf.com/	Document & Text Processing
brew	ncdu	NCurses Disk Usage	https://dev.yorhel.nl/ncdu	System Utilities
brew	ninja	Small build system for use with gyp or CMake	https://ninja-build.org/	Build Systems & Compilers
brew	node	Open-source, cross-platform JavaScript runtime environment	https://nodejs.org/	Programming Languages & Runtimes
brew	opencode	AI coding agent, built for the terminal	https://opencode.ai	Development Tools
brew	openjpeg	Library for JPEG-2000 image manipulation	https://www.openjpeg.org/	Media Processing
brew	p7zip	7-Zip (high compression file archiver) implementation	https://github.com/p7zip-project/p7zip	File & Archive Tools
brew	pandoc	Swiss-army knife of markup format conversion	https://pandoc.org/	Document & Text Processing
brew	parallel	Shell command parallelization utility	https://savannah.gnu.org/projects/parallel/	System Utilities
brew	pastel	Command-line tool to generate, analyze, convert and manipulate colors	https://github.com/sharkdp/pastel	Miscellaneous
brew	perl	Highly capable, feature-rich programming language	https://www.perl.org/	Programming Languages & Runtimes
brew	pkgconf	Package compiler and linker metadata toolkit	https://github.com/pkgconf/pkgconf	Build Systems & Compilers
brew	poppler	PDF rendering library (based on the xpdf-3.0 code base)	https://poppler.freedesktop.org/	Document & Text Processing
brew	portmidi	Cross-platform library for real-time MIDI I/O	https://github.com/PortMidi/portmidi	Media Processing
brew	pygments	Generic syntax highlighter	https://pygments.org/	Python Tools
brew	qpdf	Tools for and transforming and inspecting PDF files	https://qpdf.sourceforge.io/	Document & Text Processing
brew	qsv	Ultra-fast CSV data-wrangling toolkit	https://qsv.dathere.com/	Data Processing & Analysis
brew	qt@5	Cross-platform application and UI framework	https://www.qt.io/	Development Libraries
brew	ripgrep	Search tool like grep and The Silver Searcher	https://github.com/BurntSushi/ripgrep	Search & Text Processing
brew	rizin	UNIX-like reverse engineering framework and command-line toolset	https://rizin.re	Reverse Engineering
brew	rsync	Utility that provides fast incremental file transfer	https://rsync.samba.org/	File & Archive Tools
brew	ruff	Extremely fast Python linter, written in Rust	https://docs.astral.sh/ruff/	Code Quality & Linting
brew	sdl2	Low-level access to audio, keyboard, mouse, joystick, and graphics	https://www.libsdl.org/	Media Processing
brew	shellcheck	Static analysis and lint tool, for (ba)sh scripts	https://www.shellcheck.net/	Code Quality & Linting
brew	shfmt	Autoformat shell script source code	https://github.com/mvdan/sh	Code Quality & Linting
brew	smartmontools	SMART hard drive monitoring	https://www.smartmontools.org/	System Utilities
brew	sox	SOund eXchange: universal sound sample translator	https://sox.sourceforge.net/	Media Processing
brew	sql-language-server	Language Server for SQL	https://github.com/joe-re/sql-language-server	Language Servers & IDE Support
brew	swiftlint	Tool to enforce Swift style and conventions	https://github.com/realm/SwiftLint	Code Quality & Linting
brew	texinfo	Official documentation format of the GNU project	https://www.gnu.org/software/texinfo/	Document & Text Processing
brew	tidy-viewer	CLI csv pretty printer	https://github.com/alexhallam/tv	Data Processing & Analysis
brew	tlrc	Official tldr client written in Rust	https://tldr.sh/tlrc/	System Utilities
brew	tmux	Terminal multiplexer	https://tmux.github.io/	Shells & Terminal
brew	tree	Display directories as trees (with optional color/HTML output)	https://oldmanprogrammer.net/source.php?dir=projects/tree	Shells & Terminal
brew	tree-sitter-cli	Parser generator tool	https://tree-sitter.github.io	Development Libraries
brew	typescript-language-server	Language Server Protocol implementation for TypeScript wrapping tsserver	https://github.com/typescript-language-server/typescript-language-server	Language Servers & IDE Support
brew	uv	Extremely fast Python package installer and resolver, written in Rust	https://docs.astral.sh/uv/	Python Tools
brew	visidata	Terminal spreadsheet multitool for discovering and arranging data	https://www.visidata.org/	Data Processing & Analysis
brew	vscode-langservers-extracted	Language servers for HTML, CSS, JavaScript, and JSON extracted from vscode	https://github.com/hrsh7th/vscode-langservers-extracted	Language Servers & IDE Support
brew	wget	Internet file retriever	https://www.gnu.org/software/wget/	Network Tools
brew	xan	CSV CLI magician written in Rust	https://github.com/medialab/xan	Data Processing & Analysis
brew	yaml-language-server	Language Server for Yaml Files	https://github.com/redhat-developer/yaml-language-server	Language Servers & IDE Support
brew	yt-dlp	Feature-rich command-line audio/video downloader	https://github.com/yt-dlp/yt-dlp	Media Processing
brew	zoxide	Shell extension to navigate your filesystem faster	https://github.com/ajeetdsouza/zoxide	Shells & Terminal
cask	android-platform-tools	Android SDK Platform-Tools: Android SDK component	https://developer.android.com/tools/releases/platform-tools	Development Tools
cask	appcleaner	FreeMacSoft AppCleaner: Application uninstaller	https://freemacsoft.net/appcleaner/	System Utilities
cask	audacity	Audacity: Multi-track audio editor and recorder	https://www.audacityteam.org/	Media Players & Editors
cask	basictex	BasicTeX: Compact TeX distribution as alternative to the full TeX Live / MacTeX	https://www.tug.org/mactex/morepackages.html	Development Tools
cask	blackhole-16ch	BlackHole 16ch: Virtual Audio Driver	https://existential.audio/blackhole/	Audio Utilities
cask	blackhole-2ch	BlackHole 2ch: Virtual Audio Driver	https://existential.audio/blackhole/	Audio Utilities
cask	blender	Blender: 3D creation suite	https://www.blender.org/	Media Players & Editors
cask	calibre	calibre: E-books management software	https://calibre-ebook.com/	E-book & Media Management
cask	dbeaver-community	DBeaver Community Edition: Universal database tool and SQL client	https://dbeaver.io/	Development Tools
cask	disk-inventory-x	Disk Inventory X: Disk usage utility	https://www.derlien.com/	System Utilities
cask	font-fira-mono-nerd-font	FiraMono Nerd Font (Fira): 	https://github.com/ryanoasis/nerd-fonts	Fonts
cask	font-lilex	Lilex: 	https://github.com/mishamyrt/Lilex	Fonts
cask	font-lilex-nerd-font	Lilex Nerd Font (Lilex): 	https://github.com/ryanoasis/nerd-fonts	Fonts
cask	font-symbols-only-nerd-font	Symbols Nerd Font (Symbols Only): 	https://github.com/ryanoasis/nerd-fonts	Fonts
